coreid,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementDeterminedDate,measurementDeterminedBy,measurementRemarks
229922,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-08-02T18:22:38Z,heleonar,
229923,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-08-02T12:36:36Z,heleonar,
229924,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-08-02T13:00:46Z,heleonar,
229925,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-08-02T18:31:08Z,heleonar,
229927,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-08-03T18:45:45Z,heleonar,
229928,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-08-03T18:48:49Z,heleonar,
229930,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-06-03T00:13:59Z,heleonar,
229931,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-06-03T00:51:11Z,heleonar,
229932,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-05-30T14:44:45Z,heleonar,
229934,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-05-30T14:22:35Z,heleonar,
229935,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-06-06T20:43:32Z,heleonar,
229936,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-06-04T14:08:28Z,heleonar,
229937,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-06-04T14:20:46Z,heleonar,
229938,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-06-03T23:46:05Z,heleonar,
229939,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-06-13T15:44:22Z,heleonar,
229940,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-06-13T16:10:34Z,heleonar,
229941,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-06-13T15:20:45Z,heleonar,
229942,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-06-13T15:30:31Z,heleonar,
229943,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-06-13T15:27:49Z,heleonar,
229944,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-06-13T16:07:16Z,heleonar,
229945,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-06-06T21:31:16Z,heleonar,
229946,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-02-13T08:45:43Z,kdpearso,
229948,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-06-13T14:50:41Z,heleonar,
229962,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-06-24T02:09:40Z,heleonar,
230014,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2021-02-09T19:42:29Z,emmasusman,
230017,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-02-13T17:11:56Z,A.Edmondson,
230020,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-04-10T17:07:43Z,heleonar,"Unopened flower presence unknown."
230022,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-04-10T14:17:55Z,heleonar,"Fruit presence unknown"
230024,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-04-10T13:45:56Z,heleonar,
230029,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-07-26T14:40:02Z,heleonar,"Fruit presence requires physical examination."
230030,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-07-19T23:46:40Z,heleonar,"Fruit presence requires physical examination."
230031,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-07-26T15:14:45Z,heleonar,
230032,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-06-27T18:53:45Z,heleonar,"Fruit presence requires physical examination."
230033,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-06-27T19:09:00Z,heleonar,"Fruit presence requires physical examination."
230034,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-07-19T17:50:52Z,heleonar,"Fruit presence requires physical examination."
230035,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-07-19T17:30:41Z,heleonar,
230036,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-07-19T17:16:55Z,heleonar,
230037,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-07-19T17:13:10Z,heleonar,
230038,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-07-12T14:53:19Z,heleonar,
230039,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-07-05T20:49:02Z,heleonar,
230040,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-07-19T17:38:56Z,heleonar,"Fruit presence requires physical examination."
230041,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-07-05T15:26:54Z,heleonar,"Fruit presence requires physical examination."
230042,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-07-05T17:39:58Z,heleonar,
230044,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-04-10T22:43:45Z,frankie98,
230058,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-04-10T17:28:12Z,frankie98,
230068,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-05-11T14:41:06Z,heleonar,
230069,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-05-11T14:51:52Z,heleonar,
230070,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-05-13T15:08:55Z,heleonar,
230071,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-05-12T13:16:36Z,heleonar,
230072,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-05-22T12:51:35Z,heleonar,
230073,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-05-22T13:41:33Z,heleonar,
230074,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-05-23T14:11:39Z,heleonar,
230075,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-05-22T14:44:27Z,heleonar,
230076,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-05-23T14:25:35Z,heleonar,
230077,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-05-26T14:16:10Z,heleonar,
230078,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-05-26T14:40:48Z,heleonar,
230080,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-05-29T13:27:57Z,heleonar,
